诊断名,诊断码
肩黑素细胞痣,D22.601
手黑素细胞痣,D22.602
下肢（包括髋）黑素细胞痣,D22.700
足黑素细胞痣,D22.701
髋黑素细胞痣,D22.702
黑素细胞痣,D22.900
痣,D22.900x002
甲下痣,D22.900x003
大汗腺黑色素痣,D22.900x017
假性黑色素瘤,D22.900x021
神经皮肤黑变病,D22.901
唇皮肤良性肿瘤,D23.000
眼睑（包括眦）皮肤良性肿瘤,D23.100
眼睑良性肿瘤,D23.100x001
内眦良性肿瘤,D23.100x002
外眦良性肿瘤,D23.100x003
眦皮肤良性肿瘤,D23.101
耳和外耳道皮肤良性肿瘤,D23.200
耳廓良性肿瘤,D23.200x002
耳皮肤良性肿瘤,D23.200x003
耳后皮肤良性肿瘤,D23.200x008
外耳道良性肿瘤,D23.201
面部其他和未特指部位皮肤的良性肿瘤,D23.300
鼻唇沟良性肿瘤,D23.300x003
颊部皮肤良性肿瘤,D23.300x004
面部皮肤良性肿瘤,D23.301
眉部良性肿瘤,D23.302
鼻部皮肤良性肿瘤,D23.303
头皮和颈部皮肤良性肿瘤,D23.400
头皮良性肿瘤,D23.400x003
颈部皮肤良性肿瘤,D23.401
躯干皮肤良性肿瘤,D23.500
肛门皮肤良性肿瘤,D23.500x003
胸部皮肤良性肿瘤,D23.500x006
会阴皮肤良性肿瘤,D23.500x010
背部皮肤良性肿瘤,D23.501
乳房皮肤良性肿瘤,D23.502
肛周皮肤良性肿瘤,D23.503
腹壁良性肿瘤,D23.504
腋皮肤良性肿瘤,D23.505
臀部皮肤良性肿瘤,D23.506
上肢（包括肩）皮肤良性肿瘤,D23.600
上肢皮肤良性肿瘤,D23.600x001
上肢端皮肤良性肿瘤,D23.600x002
肩皮肤良性肿瘤,D23.601
手皮肤良性肿瘤,D23.602
下肢（包括髋）皮肤良性肿瘤,D23.700
下肢皮肤良性肿瘤,D23.700x001
下肢端皮肤良性肿瘤,D23.700x002
髋皮肤良性肿瘤,D23.701
皮肤良性肿瘤,D23.900
乳房良性肿瘤,D24.x00
乳头的腺瘤,D24.x01
副乳腺良性肿瘤,D24.x02
子宫黏膜下平滑肌瘤,D25.000
子宫颈粘膜下平滑肌瘤,D25.000x002
子宫壁内平滑肌瘤,D25.100
子宫肌壁间平滑肌瘤,D25.100x001
子宫颈壁内平滑肌瘤,D25.100x002
子宫浆膜下层平滑肌瘤,D25.200
阔韧带平滑肌瘤,D25.200x002
子宫平滑肌瘤,D25.900
子宫多发性平滑肌瘤,D25.900x001
宫颈平滑肌瘤,D25.901
宫颈良性肿瘤,D26.000
子宫体良性肿瘤,D26.100
子宫腺肌瘤,D26.100x002
子宫良性肿瘤，其他部位的,D26.700
胎盘良性肿瘤,D26.701
胎膜良性肿瘤,D26.702
子宫良性肿瘤,D26.900
卵巢良性肿瘤,D27.x00
梅格斯综合征,D27.x01
外阴良性肿瘤,D28.000
外阴黑色素痣,D28.000x001
阴唇良性肿瘤,D28.000x002
阴道良性肿瘤,D28.100
输卵管和子宫韧带良性肿瘤,D28.200
卵巢冠良性肿瘤,D28.200x002
输卵管良性肿瘤,D28.200x003
子宫韧带良性肿瘤,D28.201
子宫阔韧带良性肿瘤,D28.202
子宫圆韧带良性肿瘤,D28.203
子宫主韧带良性肿瘤,D28.204
骶子宫韧带良性肿瘤,D28.205
卵巢固有韧带良性肿瘤,D28.206
女性生殖器官良性肿瘤，其他特指的,D28.700
阴蒂良性肿瘤,D28.700x001
女性生殖器官良性肿瘤,D28.900
阴茎良性肿瘤,D29.000
龟头良性肿瘤,D29.001
前列腺良性肿瘤,D29.100
睾丸良性肿瘤,D29.200
附睾良性肿瘤,D29.300
阴囊良性肿瘤,D29.400
阴囊皮肤良性肿瘤,D29.401
男性生殖器官良性肿瘤，其他的,D29.700
输精管良性肿瘤,D29.700x004
包皮良性肿瘤,D29.700x005
精囊良性肿瘤,D29.701
精索良性肿瘤,D29.702
鞘膜良性肿瘤,D29.703
男性生殖器官良性肿瘤,D29.900
肾良性肿瘤,D30.000
肾盂良性肿瘤,D30.100
输尿管良性肿瘤,D30.200
膀胱良性肿瘤,D30.300
膀胱尿道口良性肿瘤,D30.301
膀胱输尿管口良性肿瘤,D30.302
尿道良性肿瘤,D30.400
泌尿器官良性肿瘤，其他的,D30.700
尿道旁腺良性肿瘤,D30.701
泌尿器官良性肿瘤,D30.900
结合膜良性肿瘤,D31.000
结膜良性肿瘤,D31.000x001
结膜黑色素痣,D31.000x002
角膜良性肿瘤,D31.100
视网膜良性肿瘤,D31.200
脉络膜良性肿瘤,D31.300
睫状体良性肿瘤,D31.400
虹膜良性肿瘤,D31.402
泪腺和泪管良性肿瘤,D31.500
泪管良性肿瘤,D31.500x001
鼻泪管良性肿瘤,D31.500x003
泪腺良性肿瘤,D31.501
泪囊良性肿瘤,D31.502
眶良性肿瘤,D31.600
眶内良性肿瘤,D31.600x001
眶结缔组织良性肿瘤,D31.601
眼外肌良性肿瘤,D31.602
眶周围神经良性肿瘤,D31.603
球后良性肿瘤,D31.604
眼后组织良性肿瘤,D31.605
眼良性肿瘤,D31.900
眼球良性肿瘤,D31.901
脑膜良性肿瘤,D32.000
鞍隔脑膜瘤,D32.000x002
大脑镰脑膜瘤,D32.000x004
蝶骨脑膜瘤,D32.000x008
横窦脑膜瘤,D32.000x011
颅窝脑膜瘤,D32.000x014
桥脑脑膜瘤,D32.000x019
筛窦脑膜瘤,D32.000x020
矢状窦脑膜瘤,D32.000x021
小脑脑膜瘤,D32.000x024
岩骨脑膜瘤,D32.000x026
枕叶脑膜瘤,D32.000x028
蝶鞍上脑膜瘤,D32.000x030
侧脑室脑膜瘤,D32.000x031
大脑皮层多部位脑膜瘤,D32.000x032
硬脑膜下脑膜瘤,D32.000x036
颅底脑膜瘤,D32.000x038
窦汇区脑膜瘤,D32.000x039
蝶骨嵴脑膜瘤,D32.001
颅中窝脑膜瘤,D32.002
前床突脑膜瘤,D32.003
额叶脑膜瘤,D32.004
顶叶脑膜瘤,D32.005
大脑镰旁脑膜瘤,D32.006
矢状窦旁脑膜瘤,D32.007
嗅沟脑膜瘤,D32.008
中央区脑膜瘤,D32.009
脑室内脑膜瘤,D32.010
颞叶脑膜瘤,D32.011
颅后窝脑膜瘤,D32.012
颅前窝脑膜瘤,D32.013
鞍区脑膜瘤,D32.014
鞍结节脑膜瘤,D32.015
鞍背脑膜瘤,D32.016
枕部脑膜瘤,D32.017
小脑幕脑膜瘤,D32.018
小脑脑桥角脑膜瘤,D32.019
斜坡脑膜瘤,D32.020
颈静脉孔区脑膜瘤,D32.021
枕骨大孔区脑膜瘤,D32.022
颅内外沟通性脑膜瘤,D32.023
脊（髓）膜良性肿瘤,D32.100
脊膜瘤,D32.100x001
颅颈交界区脊膜瘤,D32.101
颈段脊膜瘤,D32.102
胸段脊膜瘤,D32.103
腰段脊膜瘤,D32.104
骶段脊膜瘤,D32.105
硬脊膜下良性肿瘤,D32.106
脑脊膜良性肿瘤,D32.900
皮肤脑膜瘤,D32.900x001
脑膜瘤,D32.900x002
脑脊膜瘤,D32.900x003
脑幕上的良性肿瘤,D33.000
脑室良性肿瘤,D33.000x003
矢状窦良性肿瘤,D33.000x004
小脑幕上良性肿瘤,D33.000x005
侧脑室良性肿瘤,D33.001
第三脑室良性肿瘤,D33.002
大脑良性肿瘤,D33.003
额叶良性肿瘤,D33.004
枕叶良性肿瘤,D33.005
顶叶良性肿瘤,D33.006
颞叶良性肿瘤,D33.007
岛叶良性肿瘤,D33.008
海马回良性肿瘤,D33.009
丘脑良性肿瘤,D33.010
脉络丛良性肿瘤,D33.011
基底节良性肿瘤,D33.012
脑幕下的良性肿瘤,D33.100
小脑幕下良性肿瘤,D33.100x005
小脑良性肿瘤,D33.101
小脑蚓部良性肿瘤,D33.102
脑干良性肿瘤,D33.103
脑桥良性肿瘤,D33.104
第四脑室良性肿瘤,D33.105
脑的良性肿瘤,D33.200
颅内良性肿瘤,D33.200x001
颅窝良性肿瘤,D33.200x003
胼胝体良性肿瘤,D33.201
颅底良性肿瘤,D33.202
脑神经良性肿瘤,D33.300
嗅球良性肿瘤,D33.300x003
视神经乳头良性肿瘤,D33.300x005
嗅神经良性肿瘤,D33.301
视神经良性肿瘤,D33.302
动眼神经良性肿瘤,D33.303
滑车神经良性肿瘤,D33.304
三叉神经良性肿瘤,D33.305
展神经良性肿瘤,D33.306
面神经良性肿瘤,D33.307
听神经良性肿瘤,D33.308
舌咽神经良性肿瘤,D33.309
迷走神经良性肿瘤,D33.310
副神经良性肿瘤,D33.311
舌下神经良性肿瘤,D33.312
脊髓良性肿瘤,D33.400
脊髓颈段良性肿瘤,D33.401
脊髓胸段良性肿瘤,D33.402
脊髓腰段良性肿瘤,D33.403
脊髓骶段良性肿瘤,D33.404
脊髓圆锥良性肿瘤,D33.405
马尾良性肿瘤,D33.406
中枢神经系统良性肿瘤，其他特指部位的,D33.700
颅眶沟通良性肿瘤,D33.700x001
颅鼻眶沟通良性肿瘤,D33.700x002
颈静脉孔区良性肿瘤,D33.700x003
中枢神经系统良性肿瘤,D33.900
硬脑膜外良性肿瘤,D33.900x001
硬脊膜外良性肿瘤,D33.900x002
蝶鞍旁良性肿瘤,D33.900x003
硬膜外良性肿瘤,D33.901
椎管内良性肿瘤,D33.902
甲状腺良性肿瘤,D34.x00
胸骨后甲状腺良性肿瘤,D34.x00x003
异位甲状腺良性肿瘤,D34.x00x005
甲状舌管良性肿瘤,D34.x01
肾上腺良性肿瘤,D35.000
肾上腺无功能腺瘤,D35.001
甲状旁腺良性肿瘤,D35.100
异位甲状旁腺良性肿瘤,D35.100x002
垂体良性肿瘤,D35.200
垂体无功能良性肿瘤,D35.200x004
垂体微小良性肿瘤,D35.200x007
侵袭性垂体瘤,D35.200x008
巨大侵袭性垂体瘤,D35.200x009
垂体瘤,D35.200x010
复杂垂体瘤,D35.200x011
鞍区良性肿瘤,D35.201
颅咽管良性肿瘤,D35.300
松果体良性肿瘤,D35.400
颈动脉体良性肿瘤,D35.500
主动脉体和其他节旁体良性肿瘤,D35.600
主动脉体良性肿瘤,D35.600x001
节旁体良性肿瘤,D35.601
内分泌腺良性肿瘤，其他特指的,D35.700
累及多个腺体的良性肿瘤,D35.800
内分泌腺良性肿瘤,D35.900
淋巴结良性肿瘤,D36.000
周围神经和自主神经系统良性肿瘤,D36.100
头部周围神经和自主神经良性肿瘤,D36.100x002
耳部周围神经和自主神经良性肿瘤,D36.100x005
颞下窝周围神经和自主神经良性肿瘤,D36.100x006
翼腭窝周围神经和自主神经良性肿瘤,D36.100x007
咽旁间隙周围神经和自主神经良性肿瘤,D36.100x008
咽后间隙周围神经和自主神经良性肿瘤,D36.100x009
眼睑周围神经和自主神经良性肿瘤,D36.100x010
鼻部周围神经和自主神经良性肿瘤,D36.100x011
颈丛良性肿瘤,D36.100x012
肩部周围神经和自主神经良性肿瘤,D36.100x014
手部周围神经和自主神经良性肿瘤,D36.100x015
腕部周围神经和自主神经良性肿瘤,D36.100x016
臂神经良性肿瘤,D36.100x017
髋部周围神经和自主神经良性肿瘤,D36.100x023
足部周围神经和自主神经良性肿瘤,D36.100x024
髂部周围神经和自主神经良性肿瘤,D36.100x025
踝部周围神经和自主神经良性肿瘤,D36.100x026
股神经良性肿瘤,D36.100x027
闭孔神经良性肿瘤,D36.100x028
坐骨神经良性肿瘤,D36.100x029
胸部周围神经和自主神经良性肿瘤,D36.100x030
腋部周围神经和自主神经良性肿瘤,D36.100x032
膈部周围神经和自主神经良性肿瘤,D36.100x033
肋间神经良性肿瘤,D36.100x036
腹部周围神经和自主神经良性肿瘤,D36.100x037
脐部周围神经和自主神经良性肿瘤,D36.100x039
骨盆周围神经和自主神经良性肿瘤,D36.100x041
臀部周围神经和自主神经良性肿瘤,D36.100x042
腹股沟周围神经和自主神经良性肿瘤,D36.100x043
会阴周围神经和自主神经良性肿瘤,D36.100x044
骶部周围神经和自主神经良性肿瘤,D36.100x045
直肠膀胱隔周围神经和自主神经良性肿瘤,D36.100x047
直肠阴道隔周围神经和自主神经良性肿瘤,D36.100x048
坐骨直肠窝周围神经和自主神经良性肿瘤,D36.100x050
腰骶丛良性肿瘤,D36.100x052
骶神经良性肿瘤,D36.100x053
骶丛良性肿瘤,D36.100x054
背部周围神经和自主神经良性肿瘤,D36.100x056
腰部周围神经和自主神经良性肿瘤,D36.100x057
腰神经良性肿瘤,D36.100x058
面部周围神经和自主神经良性肿瘤,D36.101
颈周围神经和自主神经良性肿瘤,D36.102
躯干周围神经和自主神经良性肿瘤,D36.103
肩胛区周围神经和自主神经良性肿瘤,D36.104
腹腔周围神经和自主神经良性肿瘤,D36.105
腹膜后神经良性肿瘤,D36.106
盆腔周围神经和自主神经良性肿瘤,D36.107
直肠周围神经和自主神经良性肿瘤,D36.108
脊神经良性肿瘤,D36.109
骶尾周围神经和自主神经良性肿瘤,D36.110
上肢周围神经和自主神经良性肿瘤,D36.111
下肢周围神经和自主神经良性肿瘤,D36.112
臂丛神经良性肿瘤,D36.113
桡神经良性肿瘤,D36.114
尺神经良性肿瘤,D36.115
正中神经良性肿瘤,D36.116
良性肿瘤，其他特指部位的,D36.700
颞部良性肿瘤,D36.700x004
颊部良性肿瘤,D36.700x005
咽旁间隙良性肿瘤,D36.700x006
鼻部良性肿瘤,D36.700x007
胸良性肿瘤,D36.700x008
腋窝良性肿瘤,D36.700x009
肩胛区良性肿瘤,D36.700x011
锁骨下良性肿瘤,D36.700x012
膈下良性肿瘤,D36.700x013
腹部良性肿瘤,D36.700x014
骨盆良性肿瘤,D36.700x016
直肠膀胱隔良性肿瘤,D36.700x018
直肠阴道隔良性肿瘤,D36.700x019
会阴良性肿瘤,D36.700x021
骶尾良性肿瘤,D36.700x023
骶前良性肿瘤,D36.700x024
尿道旁良性肿瘤,D36.700x025
肩部良性肿瘤,D36.700x028
手部良性肿瘤,D36.700x029
腕部良性肿瘤,D36.700x030
腘窝良性肿瘤,D36.700x032
髂良性肿瘤,D36.700x035
踝部良性肿瘤,D36.700x036
腰部良性肿瘤,D36.700x038
头部良性肿瘤,D36.701
面部良性肿瘤,D36.702
颈部良性肿瘤,D36.703
躯干部良性肿瘤,D36.704
背部良性肿瘤,D36.705
胸腔良性肿瘤,D36.706
腹腔良性肿瘤,D36.707
腹股沟良性肿瘤,D36.708
会阴部良性肿瘤,D36.709
盆腔良性肿瘤,D36.710
臀部良性肿瘤,D36.711
骶良性肿瘤,D36.712
髋良性肿瘤,D36.713
上肢良性肿瘤,D36.714
下肢良性肿瘤,D36.715
腋部良性肿瘤,D36.716
胸壁良性肿瘤,D36.717
足良性肿瘤,D36.718
良性肿瘤,D36.900
多发性腺瘤样息肉,D36.901
唇、口腔和咽动态未定或动态未知的肿瘤,D37.000
扁桃体交界性肿瘤,D37.000x001
唇交界性肿瘤,D37.000x002
腮腺交界性肿瘤,D37.000x003
唾液腺交界性肿瘤,D37.000x004
咽部交界性肿瘤,D37.000x005
杓状会厌褶交界性肿瘤,D37.000x006
唇红缘交界性肿瘤,D37.000x007
大唾液腺交界性肿瘤,D37.000x008
小唾液腺交界性肿瘤,D37.000x009
齿龈交界性肿瘤,D37.000x010
鼻咽交界性肿瘤,D37.000x011
舌根交界性肿瘤,D37.000x012
口底交界性肿瘤,D37.000x013
腭交界性肿瘤,D37.000x014
颊黏膜交界性肿瘤,D37.000x015
唇肿瘤,D37.001
口腔动态未定肿瘤,D37.002
口腔肿瘤,D37.003
咽动态未定肿瘤,D37.004
咽肿瘤,D37.005
腭动态未定肿瘤,D37.006
腭肿瘤,D37.007
舌根动态未定肿瘤,D37.008
舌根肿瘤,D37.009
腮腺动态未定肿瘤,D37.010
腮腺肿瘤,D37.011
扁桃体动态未定肿瘤,D37.012
扁桃体肿瘤,D37.013
大涎腺动态未定肿瘤,D37.014
大涎腺肿瘤,D37.015
小涎腺动态未定肿瘤,D37.016
小涎腺肿瘤,D37.017
杓状会厌褶动态未定肿瘤,D37.018
杓状会厌褶肿瘤,D37.019
胃动态未定或动态未知的肿瘤,D37.100
贲门交界性肿瘤,D37.100x001
胃交界性肿瘤,D37.100x002
胃角交界性肿瘤,D37.100x003
胃肿瘤,D37.101
贲门动态未定肿瘤,D37.102
贲门肿瘤,D37.103
小肠动态未定或动态未知的肿瘤,D37.200
十二指肠交界性肿瘤,D37.200x001
小肠交界性肿瘤,D37.200x002
空肠交界性肿瘤,D37.200x003
回肠交界性肿瘤,D37.200x004
小肠肿瘤,D37.201
十二指肠动态未定肿瘤,D37.202
十二指肠肿瘤,D37.203
空肠动态未定肿瘤,D37.204
空肠肿瘤,D37.205
回肠动态未定肿瘤,D37.206
回肠肿瘤,D37.207
阑尾动态未定或动态未知的肿瘤,D37.300
阑尾交界性肿瘤,D37.300x001
阑尾肿瘤,D37.301
结肠动态未定或动态未知的肿瘤,D37.400
结肠交界性肿瘤,D37.400x001
乙状结肠交界性肿瘤,D37.400x002
结肠肿瘤,D37.401
升结肠动态未定肿瘤,D37.402
升结肠肿瘤,D37.403
横结肠动态未定肿瘤,D37.404
横结肠肿瘤,D37.405
降结肠动态未定肿瘤,D37.406
降结肠肿瘤,D37.407
乙状结肠动态未定肿瘤,D37.408
乙状结肠肿瘤,D37.409
盲肠动态未定肿瘤,D37.410
盲肠肿瘤,D37.411
直肠动态未定或动态未知的肿瘤,D37.500
直肠交界性肿瘤,D37.500x001
直肠乙状结肠连接部交界性肿瘤,D37.500x002
直肠肿瘤,D37.501
直肠乙状结肠交界处动态未定肿瘤,D37.502
直肠乙状结肠交界处肿瘤,D37.503
肝、胆囊和胆管动态未定或动态未知的肿瘤,D37.600
胆囊交界性肿瘤,D37.600x001
法特壶腹交界性肿瘤,D37.600x002
肝交界性肿瘤,D37.600x003
肝胆管交界性肿瘤,D37.600x004
肝肿瘤,D37.601
胆囊动态未定肿瘤,D37.602
胆囊肿瘤,D37.603
胆管动态未定肿瘤,D37.604
胆管肿瘤,D37.605
壶腹部动态未定肿瘤,D37.606
壶腹部肿瘤,D37.607
消化器官，其他的动态未定或动态未知的肿瘤,D37.700
肠交界性肿瘤,D37.700x001
食管交界性肿瘤,D37.700x002
胰腺交界性肿瘤,D37.700x003
脾交界性肿瘤,D37.700x005
肛管交界性肿瘤,D37.700x007
食管动态未定肿瘤,D37.701
食管肿瘤,D37.702
脾动态未定肿瘤,D37.703
脾肿瘤,D37.704
胰腺动态未定肿瘤,D37.705
胰腺肿瘤,D37.706
肠动态未定肿瘤,D37.707
肠肿瘤,D37.708
肛门动态未定肿瘤,D37.709
肛门肿瘤,D37.710
消化器官动态未定或动态未知的肿瘤,D37.900
消化器官交界性肿瘤,D37.900x001
消化器官肿瘤,D37.901
喉动态未定或动态未知的肿瘤,D38.000
会厌交界性肿瘤,D38.000x001
喉交界性肿瘤,D38.000x002
喉肿瘤,D38.001
会厌动态未定肿瘤,D38.002
会厌肿瘤,D38.003
气管、支气管和肺动态未定或动态未知的肿瘤,D38.100
肺交界性肿瘤,D38.100x001
气管交界性肿瘤,D38.100x002
支气管交界性肿瘤,D38.100x003
肺肿瘤,D38.101
气管动态未定肿瘤,D38.102
气管肿瘤,D38.103
支气管动态未定肿瘤,D38.104
支气管肿瘤,D38.105
胸膜动态未定或动态未知的肿瘤,D38.200
胸膜交界性肿瘤,D38.200x001
胸膜肿瘤,D38.201
纵隔动态未定或动态未知的肿瘤,D38.300
纵隔交界性肿瘤,D38.300x001
前纵隔交界性肿瘤,D38.300x002
后纵隔交界性肿瘤,D38.300x003
纵隔肿瘤,D38.301
胸腺动态未定或动态未知的肿瘤,D38.400
胸腺交界性肿瘤,D38.400x001
胸腺肿瘤,D38.401
呼吸器官动态未定或动态未知的肿瘤，其他的,D38.500
鼻腔交界性肿瘤,D38.500x001
鼻窦交界性肿瘤,D38.500x003
鼻软骨交界性肿瘤,D38.500x004
中耳交界性肿瘤,D38.500x005
鼻腔动态未定肿瘤,D38.501
鼻腔肿瘤,D38.502
鼻旁窦动态未定肿瘤,D38.503
鼻旁窦肿瘤,D38.504
鼻软骨动态未定肿瘤,D38.505
鼻软骨肿瘤,D38.506
中耳动态未定肿瘤,D38.507
中耳肿瘤,D38.508
鼻颅底交通性肿瘤,D38.509
呼吸器官的动态未定或动态未知的肿瘤,D38.600
呼吸系统交界性肿瘤,D38.600x001
呼吸器官肿瘤,D38.601
子宫动态未定或动态未知的肿瘤,D39.000
子宫交界性肿瘤,D39.000x001
子宫内膜交界性肿瘤,D39.000x002
子宫肿瘤,D39.001
子宫体动态未定肿瘤,D39.002
子宫体肿瘤,D39.003
子宫颈动态未定肿瘤,D39.004
子宫颈肿瘤,D39.005
卵巢动态未定或动态未知的肿瘤,D39.100
卵巢多房囊肿,D39.100x001
卵巢交界性肿瘤,D39.100x003
卵巢肿瘤,D39.101
胎盘动态未定或动态未知的肿瘤,D39.200
侵蚀性葡萄胎,D39.200x001
胎盘交界性肿瘤,D39.200x002
胎盘肿瘤,D39.201
恶性葡萄胎,D39.202
侵袭性葡萄胎,D39.203
破坏性绒毛膜腺瘤,D39.204
女性生殖器官动态未定或动态未知的肿瘤，其他的,D39.700
输卵管交界性肿瘤,D39.700x001
阴道交界性肿瘤,D39.700x002
外阴动态未定肿瘤,D39.701
外阴肿瘤,D39.702
子宫韧带动态未定肿瘤,D39.703
子宫韧带肿瘤,D39.704
输卵管动态未定肿瘤,D39.705
输卵管肿瘤,D39.706
阴道动态未定肿瘤,D39.707
阴道肿瘤,D39.708
女性生殖器官皮肤动态未定肿瘤,D39.709
女性生殖器官皮肤肿瘤,D39.710
女性生殖器官的动态未定或动态未知的肿瘤,D39.900
女性生殖器官交界性肿瘤,D39.900x001
女性生殖器官肿瘤,D39.901
尿道阴道隔动态未定肿瘤,D39.902
尿道阴道隔肿瘤,D39.903
前列腺动态未定或动态未知的肿瘤,D40.000
前列腺交界性肿瘤,D40.000x001
前列腺肿瘤,D40.001
睾丸动态未定或动态未知的肿瘤,D40.100
睾丸交界性肿瘤,D40.100x002
睾丸肿瘤,D40.101
男性生殖器官动态未定或动态未知的肿瘤，其他的,D40.700
附睾交界性肿瘤,D40.700x001
精囊交界性肿瘤,D40.700x002
阴茎纤维瘤病,D40.700x003
阴茎动态未定肿瘤,D40.701
阴茎肿瘤,D40.702
男性生殖器官皮肤动态未定肿瘤,D40.703
男性生殖器官皮肤肿瘤,D40.704
男性生殖器官的动态未定或动态未知的肿瘤,D40.900
男性生殖器官交界性肿瘤,D40.900x001
男性生殖器官肿瘤,D40.901
肾动态未定或动态未知的肿瘤,D41.000
肾交界性肿瘤,D41.000x001
肾肿瘤,D41.001
肾盂动态未定或动态未知的肿瘤,D41.100
肾盂交界性肿瘤,D41.100x001
肾盂肿瘤,D41.101
输尿管动态未定或动态未知的肿瘤,D41.200
输尿管交界性肿瘤,D41.200x001
输尿管肿瘤,D41.201
尿道动态未定或动态未知的肿瘤,D41.300
尿道交界性肿瘤,D41.300x001
尿道肿瘤,D41.301
膀胱动态未定或动态未知的肿瘤,D41.400
膀胱交界性肿瘤,D41.400x001
膀胱息肉,D41.400x004
膀胱肿瘤,D41.401
泌尿器官动态未定或动态未知的肿瘤，其他的,D41.700
泌尿器官的动态未定或动态未知的肿瘤,D41.900
泌尿生殖系统交界性肿瘤,D41.900x001
泌尿系统肿瘤,D41.901
脑膜动态未定或动态未知的肿瘤,D42.000
脑膜交界性肿瘤,D42.000x001
硬脑膜下交界性肿瘤,D42.000x002
脑膜肿瘤,D42.001
硬脑膜下动态未定肿瘤,D42.002
硬脑膜下肿瘤,D42.003
脊（髓）膜动态未定或动态未知的肿瘤,D42.100
脊膜交界性肿瘤,D42.100x001
硬脊膜下交界性肿瘤,D42.100x002
脊膜肿瘤,D42.101
脑脊膜的动态未定或动态未知的肿瘤,D42.900
脑脊膜交界性肿瘤,D42.900x001
硬膜下交界性肿瘤,D42.900x002
脑脊膜肿瘤,D42.901
脑幕上动态未定或动态未知的肿瘤,D43.000
枕叶交界性肿瘤,D43.000x001
脑室交界性肿瘤,D43.000x002
额叶交界性肿瘤,D43.000x003
顶叶交界性肿瘤,D43.000x004
颞叶交界性肿瘤,D43.000x005
大脑交界性肿瘤,D43.000x006
脑幕上肿瘤,D43.001
脑室动态未定肿瘤,D43.002
脑室肿瘤,D43.003
大脑动态未定肿瘤,D43.004
大脑肿瘤,D43.005
额叶动态未定肿瘤,D43.006
额叶肿瘤,D43.007
枕叶动态未定肿瘤,D43.008
枕叶肿瘤,D43.009
顶叶动态未定肿瘤,D43.010
顶叶肿瘤,D43.011
颞叶动态未定肿瘤,D43.012
颞叶肿瘤,D43.013
脑幕下动态未定或动态未知的肿瘤,D43.100
脑干交界性肿瘤,D43.100x001
小脑交界性肿瘤,D43.100x002
延髓交界性肿瘤,D43.100x003
第四脑室交界性肿瘤,D43.100x004
脑幕下肿瘤,D43.101
脑干动态未定肿瘤,D43.102
脑干肿瘤,D43.103
小脑动态未定肿瘤,D43.104
小脑肿瘤,D43.105
延髓动态未定肿瘤,D43.106
延髓肿瘤,D43.107
脑的动态未定或动态未知的肿瘤,D43.200
颅内交界性肿瘤,D43.200x001
脑交界性肿瘤,D43.200x002
颅底沟通交界性肿瘤,D43.200x003
颅底交界性肿瘤,D43.200x004
斜坡交界性肿瘤,D43.200x005
脑肿瘤,D43.201
颅底交通性肿瘤,D43.202
脑神经动态未定或动态未知的肿瘤,D43.300
脑神经交界性肿瘤,D43.300x001
嗅神经交界性肿瘤,D43.300x002
视神经交界性肿瘤,D43.300x003
动眼神经交界性肿瘤,D43.300x004
滑车神经交界性肿瘤,D43.300x005
三叉神经交界性肿瘤,D43.300x006
外展神经交界性肿瘤,D43.300x007
面神经交界性肿瘤,D43.300x008
听神经交界性肿瘤,D43.300x009
舌咽神经交界性肿瘤,D43.300x010
迷走神经交界性肿瘤,D43.300x011
副神经交界性肿瘤,D43.300x012
舌下神经交界性肿瘤,D43.300x013
脑神经肿瘤,D43.301
脊髓动态未定或动态未知的肿瘤,D43.400
脊髓交界性肿瘤,D43.400x001
马尾交界性肿瘤,D43.400x002
脊髓肿瘤,D43.401
马尾动态未定肿瘤,D43.402
马尾肿瘤,D43.403
中枢神经系统其他部位动态未定或动态未知的肿瘤,D43.700
中枢神经系统的动态未定或动态未知的肿瘤,D43.900
硬膜外交界性肿瘤,D43.900x001
椎管内交界性肿瘤,D43.900x002
硬脑膜外交界性肿瘤,D43.900x003
硬脊膜外交界性肿瘤,D43.900x004
中枢神经系统肿瘤,D43.901
硬脑膜外动态未定肿瘤,D43.902
硬脑膜外肿瘤,D43.903
甲状腺动态未定或动态未知的肿瘤,D44.000
甲状腺交界性肿瘤,D44.000x001
甲状腺肿瘤,D44.001
肾上腺动态未定或动态未知的肿瘤,D44.100
肾上腺交界性肿瘤,D44.100x001
肾上腺肿瘤,D44.101
甲状旁腺动态未定或动态未知的肿瘤,D44.200
甲状旁腺交界性肿瘤,D44.200x001
甲状旁腺肿瘤,D44.201
垂体动态未定或动态未知的肿瘤,D44.300
垂体交界性肿瘤,D44.300x001
垂体肿瘤,D44.301
颅咽管动态未定或动态未知的肿瘤,D44.400
颅咽管交界性肿瘤,D44.400x001
颅咽管肿瘤,D44.401
松果体动态未定或动态未知的肿瘤,D44.500
松果体交界性肿瘤,D44.500x001
松果体区交界性肿瘤,D44.500x003
松果体肿瘤,D44.501
颈动脉体动态未定或动态未知的肿瘤,D44.600
颈动脉体交界性肿瘤,D44.600x002
颈动脉体肿瘤,D44.601
主动脉体和其他节旁体动态未定或动态未知的肿瘤,D44.700
主动脉体交界性肿瘤,D44.700x002
颈静脉体交界性肿瘤,D44.700x003
颈静脉球交界性肿瘤,D44.700x004
主动脉体肿瘤,D44.701
颈静脉球动态未定肿瘤,D44.702
